API_NUMBER,qi,di,b,sqrt_error,skipped_days,TimeStamp
5001097540000,53.91688,0.08649,1.84558,1.8973257513837025,0.0,2019/3/13 16:25:54
5001097600100,100.40589,0.0159,1.41683,1.7288757433527924,65.0,2019/3/13 16:26:3
5001098260000,374.54956,0.00766,0.78989,13.255572203305402,29.0,2019/3/13 16:26:23
5001098470000,998.04971,0.01695,1.27165,63.48842564682314,0.0,2019/3/13 16:27:11
5005071650100,225.97289,0.00367,0.55025,17.878264947688105,0.0,2019/3/13 16:27:37
5005071670200,234.41523,0.05991,1.54472,8.766120953745427,25.0,2019/3/13 16:28:3
5005071780100,573.29187,0.22736,1.57828,25.68224992685752,50.0,2019/3/13 16:28:35
5005071800000,690.42473,0.00895,0.5893,16.947738204982176,43.0,2019/3/13 16:29:4
5005071890100,2807.38924,1.0,1.61992,29.747705650837734,0.0,2019/3/13 16:29:17
5005071970100,110.38472,0.01176,1.55226,3.2898321021025088,195.0,2019/3/13 16:29:42
5005071990100,137.41393,0.06731,1.50536,1.8903722915993573,62.0,2019/3/13 16:29:54
5005072000200,171.05841,0.01976,1.50633,2.827742586201736,47.0,2019/3/13 16:30:5
5005072020100,93.23304,0.00758,1.12715,15.644017076775976,56.0,2019/3/13 16:31:10
5005072030100,229.41957,0.02214,1.24003,7.385448925446763,29.0,2019/3/13 16:31:25
5005072050100,472.44925,0.01222,0.95784,15.9538521460537,0.0,2019/3/13 16:31:37
5005072080100,447.29015,0.00728,0.98066,46.68019166356436,0.0,2019/3/13 16:32:5
5005072090000,648.15843,0.01557,1.24991,40.93180882782476,33.0,2019/3/13 16:32:13
5005072100100,771.46947,0.02196,1.13955,32.66277300198235,0.0,2019/3/13 16:32:17
5005072140100,300.02945,0.03995,1.51592,4.612584583303538,61.0,2019/3/13 16:33:5
5005072150100,929.26537,0.17807,1.81337,8.905783182025539,49.0,2019/3/13 16:33:15
5005072180000,1087.11587,0.01043,1.02329,55.37613790405559,0.0,2019/3/13 16:33:33
5005072190100,874.42143,0.0067,0.90959,46.62370571868772,0.0,2019/3/13 16:33:39
5005072210000,1395.9836,0.02238,1.2761,37.362798389046986,0.0,2019/3/13 16:33:43
5005072230000,1397.89602,0.02186,1.30734,21.844546229474602,0.0,2019/3/13 16:33:46
5005072240000,1431.47836,0.03875,1.63846,26.034169580749,19.0,2019/3/13 16:33:59
5005072260000,946.66709,0.01552,1.2641,23.030019114615374,12.0,2019/3/13 16:34:6
5005072420000,662.62816,0.01403,1.16914,42.10437225648648,0.0,2019/3/13 16:34:16
5005072450000,521.62399,0.00383,0.001,24.33805922677877,16.0,2019/3/13 16:34:23
5005072550100,645.08097,0.01008,1.09554,26.26490518825865,20.0,2019/3/13 16:34:28
5043061880000,64.02792,0.02411,1.39155,1.8476001356589906,0.0,2019/3/13 16:34:56
5043061890000,136.33572,0.02789,1.01642,3.4119212383355446,0.0,2019/3/13 16:34:59
5043062100000,208.91433,0.00505,0.11274,8.438532665166507,0.0,2019/3/13 16:35:20
5043062120000,86.58223,0.03247,0.88301,3.6079253202052564,0.0,2019/3/13 16:35:35
5043062210000,346.8688,0.97913,1.49422,3.444478038023421,0.0,2019/3/13 16:35:57
5045154920000,9.24727,0.00218,0.9487,1.7485788641754552,0.0,2019/3/13 16:36:4
5045207890000,61.02232,0.05222,0.96966,1.4577507962421334,0.0,2019/3/13 16:36:7
5057064630300,237.26192,0.12585,1.20414,7.804975997250884,0.0,2019/3/13 16:38:56
5057064650100,1086.01725,0.08549,1.05685,19.17081954004917,0.0,2019/3/13 16:39:6
5057064690200,54.18475,0.00187,0.03357,3.00453782601145,0.0,2019/3/13 16:39:10
5057064720000,351.06796,0.00857,0.86045,39.079449769846825,0.0,2019/3/13 16:39:25
5057064800100,413.23328,0.02618,0.89242,14.789617578672972,0.0,2019/3/13 16:39:31
5057064820000,855.31435,0.03111,0.89775,21.99689048480472,39.0,2019/3/13 16:39:48
5057064830100,50.55083,0.00734,0.77773,3.4999928240011884,0.0,2019/3/13 16:39:59
5057064880000,620.70103,0.00626,0.40694,26.43579837435608,26.0,2019/3/13 16:40:11
5057064980000,832.84517,0.02697,1.27758,73.31527992921828,0.0,2019/3/13 16:40:19
5057065020000,404.87344,0.00857,0.75622,46.106928956691924,0.0,2019/3/13 16:41:2
5057065080000,206.3814,0.03781,1.78967,11.728443643194765,40.0,2019/3/13 16:41:33
5057065150100,420.42066,0.03796,1.05324,12.086749391893548,0.0,2019/3/13 16:41:41
5057065230000,771.31733,0.01605,0.8447,18.218975677212207,0.0,2019/3/13 16:41:46
5057065260000,607.63853,0.01615,1.1971,18.067413585249145,126.0,2019/3/13 16:41:54
